video_id,title,channel,published,category,region,view_count,like_count,comment_count,fetched_at
pAsmrKyMqaA,The Fantastic Four: First Steps | Official Trailer | Only in Theaters July 25,Marvel Entertainment,2025-04-17T14:00:08+00:00,24,DE,15874541,427572,32954,2025-04-20T19:00:01.339975+00:00
ZnH_2I0WoFQ,Retro Trailer | Suriya | Pooja Hegde | Karthik Subbaraj | Santhosh Narayanan | Latest Tamil Trailer,T-Series Tamil,2025-04-18T13:30:34+00:00,10,DE,11661452,470582,12233,2025-04-20T19:00:01.339974+00:00
6D1yFt1Uook,Brawl Talk: A NEW BRAWLER RARITY?!,Brawl Stars,2025-04-19T15:00:10+00:00,20,DE,8874452,406727,53766,2025-04-20T19:00:01.339912+00:00
IC8KsZniulw,THE GASLIGHT DISTRICT: PILOT,GLITCH,2025-04-18T22:00:06+00:00,1,DE,5496640,509529,34262,2025-04-20T19:00:01.339948+00:00
cdeKX7cs-r0,JENNIE - like JENNIE - Live at Coachella 2025,Coachella,2025-04-16T20:59:08+00:00,10,DE,5082046,193759,6640,2025-04-20T19:00:01.340000+00:00
MI9ZpIKgyf0,Ed Sheeran - Azizam (Official Music Video),Ed Sheeran,2025-04-17T16:00:06+00:00,10,DE,4945251,89380,24852,2025-04-20T19:00:01.339953+00:00
IYGG55qwQZQ,28 YEARS LATER - New Trailer,Sony Pictures Entertainment,2025-04-17T07:01:06+00:00,1,DE,4924798,150116,11586,2025-04-20T19:00:01.339991+00:00
riCP9x31Kuk,Doechii - Anxiety (Official Video),IamdoechiiVEVO,2025-04-18T15:00:06+00:00,10,DE,4498170,367727,20487,2025-04-20T19:00:01.339951+00:00
2C6omXxIcyE,"$1 vs $25,000 Build Challenge",MrBeast Gaming,2025-04-19T16:00:01+00:00,20,DE,4344463,168703,5636,2025-04-20T19:00:01.339939+00:00
r5_sAiUMVeQ,"UCL SEMI-FINALISTS! | Real Madrid vs Arsenal (1-2, 1-5 on agg) | UCL Highlights | Saka, Martinelli",Arsenal,2025-04-17T00:10:17+00:00,17,DE,3458905,46527,2387,2025-04-20T19:00:01.339998+00:00
