video_id,title,channel,published,category,region,view_count,like_count,comment_count,fetched_at
6D1yFt1Uook,Brawl Talk: A NEW BRAWLER RARITY?!,Brawl Stars,2025-04-19T15:00:10+00:00,20,JP,8874452,406727,53766,2025-04-20T19:00:01.370930+00:00
iVfiFFH_Kq8,マリオカート ワールド Direct,Nintendo 公式チャンネル,2025-04-17T13:23:32+00:00,20,JP,3568251,67623,0,2025-04-20T19:00:01.370968+00:00
GJB6ADqkMn0,【性別発表】杉浦家第5子の性別をたぁくん・子ども達・ジジ&ババに報告した時の様子をお届けします👶🏻🎂🍙🎈【ジェンダーリビール】,辻ちゃんネル,2025-04-18T10:00:24+00:00,22,JP,2805369,68766,1133,2025-04-20T19:00:01.370927+00:00
UUFJlUy5aA4,아스트로(ASTRO) - 꿈속의 문(Moon) : Memory of the Moon,ASTRO 아스트로,2025-04-19T09:00:10+00:00,10,JP,2444856,520915,26060,2025-04-20T19:00:01.370932+00:00
g9tJQ1PgBNQ,スーパーに売れ残っていた化け物を飼育してみると…,水ラーメン,2025-04-13T03:21:09+00:00,24,JP,2392374,32092,3191,2025-04-20T19:00:01.371005+00:00
J0PbF8VFikk,4300万円「フェラーリ」10年貯金で購入“憧れの車”が首都高で炎上　「トラウマに近い」運転手男性が状況語る｜TBS NEWS DIG,TBS NEWS DIG Powered by JNN,2025-04-17T09:06:49+00:00,25,JP,2367165,10130,7228,2025-04-20T19:00:01.370981+00:00
qIcIpSyHcyM,King Gnu - TWILIGHT!!!,King Gnu official YouTube channel,2025-04-18T14:30:06+00:00,10,JP,2240772,73429,3262,2025-04-20T19:00:01.370928+00:00
trIiMhTDKxo,【Ado】シャルル Prod. by キタニタツヤ,Ado,2025-04-16T11:01:26+00:00,10,JP,1432794,98165,2063,2025-04-20T19:00:01.370987+00:00
M51PK6Tb290,出会った人の名前に含まれる文字が食材になる料理バトル！！！,東海オンエア,2025-04-15T12:00:06+00:00,23,JP,1408621,19082,1196,2025-04-20T19:00:01.371000+00:00
xDLbN72cLrQ,もちが夜中に5回嘔吐して救急搬送されました。,もちまる日記,2025-04-17T11:01:28+00:00,15,JP,1012230,0,1409,2025-04-20T19:00:01.370976+00:00
