video_id,title,channel,published,category,region,view_count,like_count,comment_count,fetched_at
YAMCGG-8-aU,【期間限定】Snow Man　デビュー5周年記念のスタジアムライブ　Snow Man 1st Stadium Live Snow World,共同通信 エンタメチャンネル,2025-04-19T19:00:32+00:00,24,JP,342405,16439,0,2025-04-20T19:00:01.370912+00:00
rerC0Sfcnyc,ネットでありえない唐揚げの作り方がバズってたので晒します,料理研究家リュウジのバズレシピ,2025-04-19T10:19:20+00:00,26,JP,905861,17950,1077,2025-04-20T19:00:01.370924+00:00
GJB6ADqkMn0,【性別発表】杉浦家第5子の性別をたぁくん・子ども達・ジジ&ババに報告した時の様子をお届けします👶🏻🎂🍙🎈【ジェンダーリビール】,辻ちゃんネル,2025-04-18T10:00:24+00:00,22,JP,2805369,68766,1133,2025-04-20T19:00:01.370927+00:00
qIcIpSyHcyM,King Gnu - TWILIGHT!!!,King Gnu official YouTube channel,2025-04-18T14:30:06+00:00,10,JP,2240772,73429,3262,2025-04-20T19:00:01.370928+00:00
6D1yFt1Uook,Brawl Talk: A NEW BRAWLER RARITY?!,Brawl Stars,2025-04-19T15:00:10+00:00,20,JP,8874452,406727,53766,2025-04-20T19:00:01.370930+00:00
UUFJlUy5aA4,아스트로(ASTRO) - 꿈속의 문(Moon) : Memory of the Moon,ASTRO 아스트로,2025-04-19T09:00:10+00:00,10,JP,2444856,520915,26060,2025-04-20T19:00:01.370932+00:00
eaZm6JeRuJ4,【買】亀梨感謝祭！両親と一緒に家電屋さんで冷蔵庫を購入します。,亀梨和也,2025-04-19T09:01:00+00:00,24,JP,376603,10098,573,2025-04-20T19:00:01.370933+00:00
KO4GHVbQ9w8,きゅうりの育て方・植える前にやると大きく育ちます！病気に強い栽培方法25/4/19,塚原農園,2025-04-19T10:00:25+00:00,26,JP,317419,1292,67,2025-04-20T19:00:01.370935+00:00
3qW6YY5CvOQ,BE:FIRST / Spacecraft -Choreography Breakdown-,BE:FIRST Official,2025-04-19T14:30:04+00:00,10,JP,192082,20576,1014,2025-04-20T19:00:01.370937+00:00
plawORzFHsc,【優勝したら監督クビ】ついにサボり部員が団結しました。,あめんぼぷらす【日常コメディ】,2025-04-19T10:01:26+00:00,17,JP,253495,6245,323,2025-04-20T19:00:01.370938+00:00
TJIs5YqTb1c,【それスノ】番組では話しきれなかったからOA見ながら全力解説！まさかの大号泣、、,カズキのタネ,2025-04-19T11:00:06+00:00,24,JP,174021,8470,148,2025-04-20T19:00:01.370940+00:00
Ej-zR4a6ZuI,【杉浦家第五子】性別判明しましたぁぁぁ！！！(溢れる思い語ってます),たぁちゃんネル/杉浦太陽,2025-04-19T09:00:16+00:00,24,JP,304724,8469,382,2025-04-20T19:00:01.370942+00:00
DdwNxSKuwzk,【心霊】巨大廃宗教施設&加嶺隧道やっぱりヤバかった【香川県篇検証】,デニスの怖いYouTube,2025-04-19T11:00:06+00:00,24,JP,243092,5752,375,2025-04-20T19:00:01.370943+00:00
dFjVhUXnoWI,結婚式を挙げる夢が叶います。,くれいじーまぐねっと CrazyMagnet,2025-04-19T11:00:06+00:00,24,JP,417559,8315,298,2025-04-20T19:00:01.370945+00:00
tyz2B7qVNK4,恋のお悩みに寄り添いますの,kemio,2025-04-19T04:55:06+00:00,22,JP,247712,7328,361,2025-04-20T19:00:01.370946+00:00
M-eGgFfIN4I,【歌って踊ってみた / 3D】Study Equal Magic! / S.E.M（SideM）【赤城ウェン・宇佐美リト・佐伯イッテツ・緋八マナ / にじさんじ】,赤城ウェン / Akagi Wen【にじさんじ】,2025-04-19T10:00:06+00:00,10,JP,230440,38276,756,2025-04-20T19:00:01.370948+00:00
sSKhs7fSS1w,Mr.Children 30th Anniversary Tour 半世紀へのエントランス (前編),Mr.Children Official Channel,2025-04-18T11:00:06+00:00,10,JP,813309,28017,2145,2025-04-20T19:00:01.370949+00:00
hXKlqbKU0Nc,結婚記念日に妻にディレクター頼んだら秒で揉めた,中尾明慶のきつねさーん,2025-04-18T10:01:12+00:00,24,JP,799427,24889,888,2025-04-20T19:00:01.370951+00:00
csUKUx-7Uy0,BMSGの未来をつくる、５つの成長の話。【2025 BMSG CEO PRESENTATION】,BMSG,2025-04-19T07:00:06+00:00,24,JP,141765,10028,236,2025-04-20T19:00:01.370953+00:00
YUdb3ihUH18,【指原莉乃】串カツ田中 チンチロでメガ女爆誕【コラボトーク】,ウエンティービー【ウエンツ瑛士】,2025-04-18T09:01:01+00:00,24,JP,194238,4808,323,2025-04-20T19:00:01.370954+00:00
2p9maPhsTk0,【長野県で地震相次ぐ】過去には規模の大きな地震の後に更に大きな規模の地震も,ウェザーニュース,2025-04-18T22:42:01+00:00,25,JP,492422,3511,221,2025-04-20T19:00:01.370957+00:00
oNFzjQmXJN4,【昼飲み】ウエンツさんとマジしょうもない話【串カツ田中】,さしはらちゃんねる,2025-04-18T09:01:15+00:00,22,JP,437505,7311,415,2025-04-20T19:00:01.370958+00:00
cmwe1hwnjmg,朝倉未来、人生初ホストクラブ…ホストたちビビる,THE ROLAND SHOW【公式】,2025-04-18T10:01:06+00:00,24,JP,343011,4950,387,2025-04-20T19:00:01.370960+00:00
plpVOHqh3lA,ずっと真夜中でいいのに。『微熱魔』MV (ZUTOMAYO - Warmthaholic),ずっと真夜中でいいのに。 ZUTOMAYO,2025-04-18T12:00:06+00:00,10,JP,584597,24860,953,2025-04-20T19:00:01.370962+00:00
ANM7bljSsvg,学校に爆光のライトを付けたい!!【新居の学校改造計画】,すしらーめん《にく》←2nd,2025-04-18T11:00:14+00:00,24,JP,472770,13882,321,2025-04-20T19:00:01.370963+00:00
2dz8_oENcuA,ごはんを吐き続けて脱水した猫に初めて自宅で点滴しました。,もちまる日記,2025-04-18T11:01:43+00:00,15,JP,881160,0,876,2025-04-20T19:00:01.370965+00:00
feIiUSllRSM,SUPER EIGHT - ブチ★I GOT IT [Official Music Video],Storm Labels Official,2025-04-18T11:00:07+00:00,10,JP,865974,0,1804,2025-04-20T19:00:01.370967+00:00
iVfiFFH_Kq8,マリオカート ワールド Direct,Nintendo 公式チャンネル,2025-04-17T13:23:32+00:00,20,JP,3568251,67623,0,2025-04-20T19:00:01.370968+00:00
7eGAHXbHYyo,TWILIGHT!!!,King Gnu - Topic,2025-04-17T15:00:11+00:00,10,JP,525189,16315,496,2025-04-20T19:00:01.370970+00:00
COfBHfRSnmg,【ショートハイライト｜ブレントフォード v ブライトン】プレミアリーグ24/25 第33節,U-NEXT フットボール,2025-04-19T18:58:56+00:00,17,JP,461254,3157,539,2025-04-20T19:00:01.370971+00:00
Q8W9JbgCVXg,【困りました】日産スカイライン2000GT-Rに試乗したら欲しくなってしまいました… ハコスカ スカイラインgtr,あま猫 / AMA,2025-04-18T10:00:43+00:00,2,JP,692623,6879,599,2025-04-20T19:00:01.370973+00:00
CcwwsKelz6M,SixTONES【撮れたてほやほや🎵】YOUNG OLD５大ドームツアー打上げ！,SixTONES,2025-04-18T13:00:19+00:00,10,JP,659825,38033,3836,2025-04-20T19:00:01.370975+00:00
xDLbN72cLrQ,もちが夜中に5回嘔吐して救急搬送されました。,もちまる日記,2025-04-17T11:01:28+00:00,15,JP,1012230,0,1409,2025-04-20T19:00:01.370976+00:00
_pQZHP2FQZM,【久々の泥酔】酔っぱらいクッキング🍺親友と酒飲んでて気付いたらめちゃくちゃ泣いてたwww【最強おつまみ三選】,まあたそ（まあたそ）,2025-04-17T11:00:55+00:00,24,JP,474555,10887,278,2025-04-20T19:00:01.370979+00:00
J0PbF8VFikk,4300万円「フェラーリ」10年貯金で購入“憧れの車”が首都高で炎上　「トラウマに近い」運転手男性が状況語る｜TBS NEWS DIG,TBS NEWS DIG Powered by JNN,2025-04-17T09:06:49+00:00,25,JP,2367165,10130,7228,2025-04-20T19:00:01.370981+00:00
7sGihuW09OA,【トランプ関税】投資家は悲鳴？日本経済には追い風？世界的な不況？この先どうなる？｜アベプラ,ABEMA Prime #アベプラ【公式】,2025-04-17T10:30:04+00:00,25,JP,512128,2469,817,2025-04-20T19:00:01.370982+00:00
QQ_6O6tfHAI,長期休暇で夢の初来日！和牛すき焼き、人生初の生卵＆白米の組み合わせに驚愕,日本食冒険記Tokyo Food Adventures,2025-04-17T12:00:48+00:00,22,JP,316861,8660,245,2025-04-20T19:00:01.370984+00:00
xTfeORbgjjs,最近、人生初のガチ失恋しました。こんな誰かを好きになったの初めてだからマジ全部話すわ。,になに,2025-04-17T11:00:11+00:00,24,JP,250159,4589,680,2025-04-20T19:00:01.370986+00:00
trIiMhTDKxo,【Ado】シャルル Prod. by キタニタツヤ,Ado,2025-04-16T11:01:26+00:00,10,JP,1432794,98165,2063,2025-04-20T19:00:01.370987+00:00
LTvFcj9qnBw,【#不破湊生誕祭2025】ゲーム、お披露目、凸待ち、歌枠 ※告知あり【不破湊/にじさんじ】,不破 湊 / Fuwa Minato【にじさんじ】,2025-04-18T14:05:53+00:00,24,JP,285570,18026,314,2025-04-20T19:00:01.370989+00:00
AURrkm0ZgLc,【歌ってみた】お気に召すまま / Eve【アンジュ・カトリーナ/葉加瀬冬雪/甲斐田晴/レオス・ヴィンセント】【 #にじさんじ研究者組 】,葉加瀬 冬雪 / Hakase Fuyuki,2025-04-16T12:45:06+00:00,10,JP,419802,32464,515,2025-04-20T19:00:01.370990+00:00
lNc-ovWBL3g,【ご報告】加藤乃愛から皆様にご報告があります,加藤乃愛です,2025-04-17T10:01:10+00:00,24,JP,283612,3585,135,2025-04-20T19:00:01.370992+00:00
yebEryP6pjc,【お悩み人生相談】りおなちゃんと初コラボ💖8歳と43歳が本気でみんなの悩みに対して語り尽くしたわよ〜🤍,HIRO BEAUTY CHANNEL,2025-04-16T10:01:38+00:00,26,JP,519066,23126,1265,2025-04-20T19:00:01.370993+00:00
jFmbE87UBQk,チュルリラ・チュルリラ・ダッダッダ！ Cover / 七次元生徒会,七次元生徒会,2025-04-16T10:00:06+00:00,24,JP,410764,35284,647,2025-04-20T19:00:01.370995+00:00
cLZVpqvrbU8,【ぶっ壊れ】これは引くべき!!スアレスBTガチャ能力値育成解説!!ビジャは両利きに進化!!【eFootballアプリ2025/イーフト】,シュート。,2025-04-17T13:11:19+00:00,20,JP,152676,1188,372,2025-04-20T19:00:01.370996+00:00
mwsc0UVy-FE,【#holoRUST】ホロライブRUSTサーバー開催！説明会！ぺこ！【ホロライブ/兎田ぺこら/AZKi】,Pekora Ch. 兎田ぺこら,2025-04-17T11:50:55+00:00,20,JP,370679,19098,330,2025-04-20T19:00:01.370998+00:00
M51PK6Tb290,出会った人の名前に含まれる文字が食材になる料理バトル！！！,東海オンエア,2025-04-15T12:00:06+00:00,23,JP,1408621,19082,1196,2025-04-20T19:00:01.371000+00:00
bExr7NEqNwQ,【mocopi 3Dオフコラボ】#かなあずころ ケツバトラーで対決だ！！！！！【ホロライブ / AZKi / 天音かなた / 戌神ころね】,AZKi Channel,2025-04-15T12:11:58+00:00,20,JP,332534,22283,284,2025-04-20T19:00:01.371002+00:00
BbI-mxGkG68,採点を待ちながら振り返り【共通テスト2025】,QuizKnock会議中【サブチャンネル】,2025-04-15T07:30:05+00:00,24,JP,209251,5417,135,2025-04-20T19:00:01.371004+00:00
g9tJQ1PgBNQ,スーパーに売れ残っていた化け物を飼育してみると…,水ラーメン,2025-04-13T03:21:09+00:00,24,JP,2392374,32092,3191,2025-04-20T19:00:01.371005+00:00
