video_id,title,channel,published,category,region,view_count,like_count,comment_count,fetched_at
pAsmrKyMqaA,The Fantastic Four: First Steps | Official Trailer | Only in Theaters July 25,Marvel Entertainment,2025-04-17T14:00:08+00:00,24,US,15874541,427572,32954,2025-04-20T19:00:01.338754+00:00
6D1yFt1Uook,Brawl Talk: A NEW BRAWLER RARITY?!,Brawl Stars,2025-04-19T15:00:10+00:00,20,US,8874452,406727,53766,2025-04-20T19:00:01.338704+00:00
IC8KsZniulw,THE GASLIGHT DISTRICT: PILOT,GLITCH,2025-04-18T22:00:06+00:00,1,US,5496640,509529,34262,2025-04-20T19:00:01.338733+00:00
riCP9x31Kuk,Doechii - Anxiety (Official Video),IamdoechiiVEVO,2025-04-18T15:00:06+00:00,10,US,4498170,367727,20487,2025-04-20T19:00:01.338731+00:00
XG1wg3ELG9w,My Daughter Survives TEN BROTHERS,Jordan Matter,2025-04-19T14:00:07+00:00,24,US,4492666,64298,10074,2025-04-20T19:00:01.338759+00:00
2C6omXxIcyE,"$1 vs $25,000 Build Challenge",MrBeast Gaming,2025-04-19T16:00:01+00:00,20,US,4344463,168703,5636,2025-04-20T19:00:01.338720+00:00
lmBm1ATl2m8,Qualifying Highlights | 2025 Saudi Arabian Grand Prix,FORMULA 1,2025-04-19T19:06:01+00:00,17,US,4292508,99483,4339,2025-04-20T19:00:01.338791+00:00
4Q4nDw1D8kg,The New Mike Tyson? Moses Itauma — A Teen Prodigy with Brutal Power!  ...He’s Just Getting Started!,History of Boxing EN,2025-04-11T23:15:33+00:00,17,US,4244781,40073,5557,2025-04-20T19:00:01.338798+00:00
JAd4K-Bgde0,FC BARCELONA 4 - 3 RC CELTA  I RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,2025-04-19T16:41:39+00:00,17,US,3801862,83263,2643,2025-04-20T19:00:01.338758+00:00
Fv2Y1odMjvE,The Weeknd - Drive (Official Music Video),TheWeekndVEVO,2025-04-18T14:00:21+00:00,10,US,2926756,137756,6286,2025-04-20T19:00:01.338790+00:00
