video_id,title,channel,published,category,region,view_count,like_count,comment_count,fetched_at
6D1yFt1Uook,Brawl Talk: A NEW BRAWLER RARITY?!,Brawl Stars,2025-04-19T15:00:10+00:00,20,US,8874452,406727,53766,2025-04-20T19:00:01.338704+00:00
RKZPMyAvEXs,Fortnite Galactic Battle Teaser Trailer,Fortnite,2025-04-20T02:27:10+00:00,22,US,801557,45884,3915,2025-04-20T19:00:01.338718+00:00
2C6omXxIcyE,"$1 vs $25,000 Build Challenge",MrBeast Gaming,2025-04-19T16:00:01+00:00,20,US,4344463,168703,5636,2025-04-20T19:00:01.338720+00:00
qjcQpic8r3U,WILD COMEBACK 🔥 Celta Vigo vs. Barcelona | LALIGA Highlights | ESPN FC,ESPN FC,2025-04-19T16:40:26+00:00,17,US,626295,10212,1297,2025-04-20T19:00:01.338722+00:00
9mEhaQQ0C8Y,"#6 TIMBERWOLVES at #3 LAKERS | FULL GAME 1 HIGHLIGHTS | April 19, 2025",NBA,2025-04-20T03:22:07+00:00,17,US,1956394,21597,5287,2025-04-20T19:00:01.338724+00:00
x0O0yTd8L-8,Audience member Max Fox’s SPONTANEOUS audition gets him a GOLDEN BUZZER! | Auditions | BGT 2025,Britain's Got Talent,2025-04-19T19:04:52+00:00,24,US,1037577,16498,2142,2025-04-20T19:00:01.338726+00:00
twUFbqyul_M,Ash Again / Gawr Gura x Casey Edwards,Gawr Gura Ch. hololive-EN,2025-04-20T00:45:44+00:00,20,US,1250009,224387,19201,2025-04-20T19:00:01.338728+00:00
9F7YXjxSzEs,"Remontada épica. Abajo por 2 goles, el Barcelona ganó 4-3 a Celta de Vigo. Raphinha, héroe | La Liga",ESPN Deportes,2025-04-19T16:28:15+00:00,17,US,2087185,34792,3609,2025-04-20T19:00:01.338729+00:00
riCP9x31Kuk,Doechii - Anxiety (Official Video),IamdoechiiVEVO,2025-04-18T15:00:06+00:00,10,US,4498170,367727,20487,2025-04-20T19:00:01.338731+00:00
IC8KsZniulw,THE GASLIGHT DISTRICT: PILOT,GLITCH,2025-04-18T22:00:06+00:00,1,US,5496640,509529,34262,2025-04-20T19:00:01.338733+00:00
pTfN28TR-SY,SIDEMEN AMONG US: PRISON BREAK EDITION,MoreSidemen,2025-04-19T18:15:05+00:00,22,US,2410880,102817,4230,2025-04-20T19:00:01.338734+00:00
